Artikel,Tag,Value
0,Pasien,wanita dewasa
0,Usia pasien,28 tahun
0,Penyakit,kulit wajah kering
0,Penyakit,kulit wajah sangat sensitif
0,Pertanyaan,bahan anti aging mana yang paling ringan
0,Objek,retinol
0,Objek,ceramide
0,Objek,peptide
0,Pembuka,terima kasih
0,Penyakit,kulit kering
0,Gejala,penuaan dini
0,Penyakit,kulit kering
0,Gejala,kondisi kulit yang kering
0,Gejala,mudah bereaksi terhadap cuaca yang ekstrim
0,Prakondisi,kulit mudah merah
0,Tindakan,memilih produk perawatan wajah yang bersifat hipoalergenik
0,Penyakit,kulit kering
0,Outcome,membuat kulit mengelupas dan terasa kencang
0,Kapan,setelah mencuci muka dengan sabun dan air
0,Outcome,kulit lembab
0,Tindakan,pilih pelembap yang tepat
0,Tindakan,pelembab yang tepat
0,Outcome,mengatasi kulit kering
0,Tindakan,memberi nutrisi lebih pada sel-sel kulit
0,Tindakan,mengurangi kedalaman dan keparahan keriput serta garis-garis halus
0,Prakondisi,keriput
0,Penyakit,kulit kering
0,Tindakan,hindari bentuk produk kulit
0,Objek,serum
0,Objek,gel
0,Tindakan,pilihlah produk berbentuk krim
0,Objek,krim yang lebih tebal dengan tekstur yang lebih lunak
0,Tindakan,memilih pelembab
0,Objek,pelembab hyaluronic acid
0,Prakondisi,belum pernah menggunakan kandungan ini
0,Tindakan,uji alergi
0,Tindakan,usapkan sedikit di bagian leher atau di lengan bagian dalam
0,Periode,30 menit ke depan
0,Pertanyaan,apakah
0,Outcome,reaksi peradangan
0,Prakondisi,tanda
0,Tindakan,tidak cocok dengan kandungan dalam produk tersebut
0,Tindakan,gunakan tabir surya
0,Penyebab,gelombang ultraviolet pada sinar matahari
0,Penyakit,keriput pada kulit
0,Outcome,efek yang berbahaya bagi kulit kering
0,Tindakan,hendak pergi keluar
0,Tindakan,mengoleskan tabir surya
0,Objek,tabir surya dengan minimal SPF 30
0,Tindakan,hindari mandi air panas
0,Tindakan,mandi air panas
0,Outcome,meluruhkan minyak alami dari sel kulit
0,Outcome,mengurangi kelembapan kulit
0,Penyakit,kering dan mudah keriput
0,Prakondisi,kulit mudah iritasi
0,Tindakan,cuci wajah dengan air dengan suhu biasa saja
0,Kapan,saat mengeringkannya
0,Tindakan,jangan di gosok
0,Tindakan,tepuk-tepuk ringan saja
0,Tindakan,gunakan sabun lembut
0,Tindakan,gunakan sabun lembut
0,Prakondisi,sesuai dengan keasaman (pH) kulit
0,Prakondisi,mengandung pelembap
0,Objek,sabun
0,Outcome,kesan licin di kulit
0,Tindakan,hindari sabun
0,Objek,sabun dengan kandungan yang terlalu keras
0,Objek,sabun
0,Outcome,kesan kesat pada kulit
0,Outcome,kulit menjadi kering
0,Tindakan,hati-hati memilih produk perawatan kulit
0,Tindakan,jangan menggunakan produk yang mengandung alkohol
0,Outcome,kulit menjadi lebih kering dan iritasi
0,Tindakan,produk perawatan yang mengandung alkohol
0,Objek,toner
0,Tindakan,menggunakan toner lembut tanpa alkohol
0,Penyakit,kulit kering dan sensitif
0,Tindakan,produk pembersih (cleanser) yang terlalu kuat
0,Outcome,membuat kulit kering dan iritasi
0,Tindakan,pilihlah produk pembersih dengan label â€œhipoalergenikâ€
0,Penyakit,kulit kering dan sensitif
0,Tindakan,masker wajah
0,Tindakan,menghilangkan komedo
0,Tindakan,mengecilkan pori
0,Outcome,membuat kulit menjadi kering
0,Penyakit,kulit kering
0,Tindakan,pilihlah masker yang memberikan kelembapan dan dapat â€œmenenangkanâ€ kulit
0,Penyakit,komedo
0,Penyakit,pori besar
0,Tindakan,gunakan masker komedo di area tertentu yang bermasalah
0,Tindakan,produk yang anda sebutkan
0,Objek,ceramide
0,Objek,golongan asam lemak
0,Tindakan,memperbaiki barier kulit
0,Tindakan,ditemukan dalam campuran toner atau pelembab
0,Objek,retinol
0,Tindakan,bahan aktif dari vitamin A
0,Tindakan,membantu merangsang pembentukan kolagen
0,Tindakan,dijual bebas
0,Objek,retinol
0,Tindakan,golongan retinol yang lebih kuat
0,Objek,tretinoin
0,Prakondisi,memerlukan resep dokter
0,Prakondisi,membutuhkan pengawasan
0,Tindakan,termasuk bahan aktif
0,Outcome,efek samping
0,Outcome,iritasi
0,Outcome,kemerahan pada kulit
0,Objek,peptide
0,Objek,rangkaian rantai asam amino (protein)
0,Tindakan,membantu merangsang kolagen
0,Objek,ceramide
0,Pertanyaan,mana yang lebih cocok
0,Tindakan,konsultasikan dengan dokter spesialis kulit
0,Tindakan,kondisi kulit perlu di lihat secara langsung
0,Tindakan,terapkan pola hidup sehat
0,Tindakan,produk perawatan wajah
0,Tindakan,mengkonsumsi sayuran dan buah serta minum air putih yang cukup
0,Outcome,agar kulit tetap terhidrasi dengan baik
0,Penutup,demikian
0,Penutup,salam
1,Pasien,wanita remaja
1,Usia pasien,19 tahun
1,Penyakit,kulit wajah merah perih bersisik
1,Pertanyaan,bagaimana
1,Pembuka,terima kasih
1,Pembuka,simpati
1,Prakondisi,kulit yang merah
1,Penyakit,kulit kering
1,Penyakit,kulit kering
1,Penyebab,udara yang kering
1,Penyebab,bersuhu dingin
1,Penyebab,terlalu panas menyengat
1,Kapan,sering
1,Penyebab,mandi dengan air panas
1,Penyebab,berenang di air yang mengandung klorin
1,Kapan,sering
1,Penyebab,mandi
1,Objek,sabun yang bersifat â€œkerasâ€ untuk kulit
1,Outcome,menghilangkan kelembapan alami pada kulit
1,Objek,sabun keras
1,Outcome,rasa kesat pada kulit
1,Penyebab,terpapar sinar ultraviolet matahari
1,Outcome,menimbulkan kerusakan lapisan kulit
1,Outcome,kulit kering
1,Kapan,sering
1,Penyakit,dermatitis atopik
1,Outcome,kulit cenderung kering
1,Penyakit,keluhan kulit
1,Penyebab,alergi
1,Penyebab,ketidak cocokan kulit
1,Objek,produk kosmetik
1,Objek,pembersih wajah
1,Tindakan,pemeriksaan secara langsung
1,Tindakan,memeriksakan kulit wajah anda kepada dokter spesialis kulit
1,Prakondisi,penyebabnya telah ditemukan
1,Tindakan,pengobatan yang optimal
1,Outcome,mencegah kerusakan kulit lebih lanjut
1,Tindakan,merawat kulit
1,Outcome,tidak kering
1,Tindakan,gunakan pelembap
1,Tindakan,menggunakan pelembap
1,Tindakan,mengoleskan pelembap
1,Outcome,menambah hidrasi kulit
1,Outcome,â€œmengunciâ€ air atau kelembapan
1,Outcome,tidak menguap dari dalam kulit
1,Kapan,pagi atau siang hari
1,Tindakan,gunakan pelembap dengan tekstur lebih ringan
1,Objek,pelembab tabir surya (SPF minimal 15)
1,Outcome,menangkal pengaruh buruk sinar ultraviolet matahari
1,Kapan,malam hari
1,Tindakan,pelembap yang lebih kental
1,Prakondisi,kulit tidak terlalu kering
1,Tindakan,menggunakan jenis losion
1,Prakondisi,kulit sangat kering
1,Tindakan,menggunakan pelembap yang lebih kental
1,Objek,krim
1,Tindakan,menambahkan minyak
1,Objek,minyak zaitun
1,Tindakan,mengoleskan pelembap
1,Kapan,selesai mandi
1,Prakondisi,keadaan kulit masih setengah basah
1,Prakondisi,mudah menyerap pelembap
1,Tindakan,jangan menggosok kulit dengan handuk
1,Tindakan,mengeringkan
1,Tindakan,tepuk dengan lembut
1,Outcome,terhindari dari iritasi
1,Kapan,terlalu sering
1,Tindakan,menggunakan scrub
1,Objek,scrub
1,Tindakan,mengelupas sel-sel kulit mati
1,Outcome,kulit tampak bercahaya
1,Outcome,tidak kusam
1,Kapan,terlalu sering
1,Tindakan,menggunakan
1,Outcome,kulit menjadi kering
1,Prakondisi,kulit kering
1,Tindakan,melakukan pengelupasan kulit
1,Outcome,kulit menjadi semakin kering
1,Outcome,iritasi
1,Tindakan,lakukan scrub
1,Kapan,maksimal seminggu sekali
1,Tindakan,menggunakan produk
1,Objek,alpha hydroxy acid (AHA)
1,Objek,beta hydroxy acid (BHA)
1,Outcome,mengelupas kulit mati secara kimiawi
1,Tindakan,tanpa menggunakan butiran kasar
1,Tindakan,jangan gunakan air panas untuk mandi
1,Tindakan,menggunakan air dingin atau air hangat
1,Periode,terlalu lama
1,Tindakan,mandi
1,Periode,10 menit
1,Prakondisi,kulit kering
1,Tindakan,gunakan sabun lembut
1,Tindakan,gunakan sabun lembut
1,Objek,sabun yang sesuai dengan keasaman (pH) kulit
1,Objek,sabun mengandung pelembap
1,Tindakan,sabun
1,Outcome,licin di kulit
1,Tindakan,hindari sabun
1,Objek,sabun kandungan yang terlalu keras
1,Objek,sabun mengandung antiseptic
1,Objek,tidak sesuai dengan pH kulit
1,Tindakan,sabun
1,Outcome,kesat pada kulit
1,Outcome,kulit kering
1,Prakondisi,kulit sangat kering
1,Prakondisi,kulit mengalami iritasi atau infeksi
1,Objek,sabun batang
1,Objek,sabun cair
